Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M01	pair33sc	4000tt	7	P01	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P01	#	#	#	#	#	#	#
M01	pair33sc	4000tt	9	P01	#55#	#236#259#355#434#	#350#	#220#	#	#	#
M01	pair33sc	4000tt	10	P01	#	#	#376#459#	#	#7#21#385#485#500#	#	#549#
M01	pair33sc	4000tt	11	P01	#	#	#	#	#	#	#
M01	pair33sc	4000tt	12	P01	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P02	#102#143#285#475#	#116#209#231#338#	#325#357#496#580#	#156#163#335#454#	#107#112#378#433#	#238#371#488#549#	#
M01	pair33sc	4000tt	2	P02	#63#98#187#263#303#432#	#155#254#316#329#363#372#420#	#281#382#473#563#583#	#211#232#259#283#358#	#405#500#	#270#369#470#567#	#
M01	pair33sc	4000tt	3	P02	#1#102#123#193#	#15#72#329#493#	#2#131#163#305#309#457#	#109#207#259#311#436#603#	#402#403#578#	#247#292#371#	#
M01	pair33sc	4000tt	4	P02	#17#99#210#448#498#574#	#146#218#284#372#	#31#86#247#277#282#348#604#	#104#269#	#73#132#144#	#27#101#250#	#
M01	pair33sc	4000tt	5	P02	#111#453#499#578#621#	#159#181#191#445#	#5#8#81#84#98#150#158#220#227#279#286#572#	#64#101#120#121#172#234#	#195#	#128#155#247#	#
M01	pair33sc	4000tt	6	P02	#51#326#503#525#	#140#248#440#608#	#177#252#580#610#	#74#86#167#218#	#13#149#186#622#	#80#102#225#270#	#
M01	pair33sc	4000tt	7	P02	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P02	#	#	#	#241#	#	#	#336#502#
M01	pair33sc	4000tt	9	P02	#547#577#597#	#367#	#270#	#130#	#	#	#
M01	pair33sc	4000tt	10	P02	#328#573#	#	#146#194#	#240#	#	#	#
M01	pair33sc	4000tt	11	P02	#	#	#	#	#	#	#137#274#294#379#
M01	pair33sc	4000tt	12	P02	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P03	#44#169#306#501#	#34#321#333#406#	#30#128#164#383#	#212#412#575#585#	#63#185#414#605#	#121#375#459#591#	#
M01	pair33sc	4000tt	2	P03	#165#579#	#17#355#370#441#537#624#	#262#377#419#503#565#601#605#	#409#462#476#479#484#564#	#55#236#367#609#	#21#145#	#
M01	pair33sc	4000tt	3	P03	#290#466#569#605#	#8#355#425#500#535#	#133#178#286#303#357#484#585#588#	#187#338#383#518#	#4#7#79#111#239#	#485#577#590#	#487#
M01	pair33sc	4000tt	4	P03	#2#7#329#406#476#480#	#95#363#415#442#445#471#516#566#570#	#300#302#327#333#398#450#460#482#	#265#	#310#356#	#199#376#387#	#
